[Byte Buddy] IGNORE org.apache.maven.toolchain.building.ToolchainsBuildingRequest [ClassRealm[plexus.core, parent: null], unnamed module @6b09fb41, Thread[main,5,main], loaded=false]
[Byte Buddy] COMPLETE org.apache.maven.toolchain.building.ToolchainsBuildingRequest [ClassRealm[plexus.core, parent: null], unnamed module @6b09fb41, Thread[main,5,main], loaded=false]
[Byte Buddy] DISCOVERY org.eclipse.aether.transfer.TransferListener [ClassRealm[plexus.core, parent: null], unnamed module @6b09fb41, Thread[main,5,main], loaded=false]
[Byte Buddy] IGNORE org.eclipse.aether.transfer.TransferListener [ClassRealm[plexus.core, parent: null], unnamed module @6b09fb41, Thread[main,5,main], loaded=false]
[Byte Buddy] COMPLETE org.eclipse.aether.transfer.TransferListener [ClassRealm[plexus.core, parent: null], unnamed module @6b09fb41, Thread[main,5,main], loaded=false]
[Byte Buddy] DISCOVERY org.apache.maven.execution.ExecutionListener [ClassRealm[plexus.core, parent: null], unnamed module @6b09fb41, Thread[main,5,main], loaded=false]
[Byte Buddy] IGNORE org.apache.maven.execution.ExecutionListener [ClassRealm[plexus.core, parent: null], unnamed module @6b09fb41, Thread[main,5,main], loaded=false]
[Byte Buddy] COMPLETE org.apache.maven.execution.ExecutionListener [ClassRealm[plexus.core, parent: null], unnamed module @6b09fb41, Thread[main,5,main], loaded=false]
[Byte Buddy] DISCOVERY org.codehaus.plexus.PlexusContainer [ClassRealm[plexus.core, parent: null], unnamed module @6b09fb41, Thread[main,5,main], loaded=false]
[Byte Buddy] IGNORE org.codehaus.plexus.PlexusContainer [ClassRealm[plexus.core, parent: null], unnamed module @6b09fb41, Thread[main,5,main], loaded=false]
[Byte Buddy] COMPLETE org.codehaus.plexus.PlexusContainer [ClassRealm[plexus.core, parent: null], unnamed module @6b09fb41, Thread[main,5,main], loaded=false]
[Byte Buddy] DISCOVERY org.apache.maven.eventspy.EventSpy$Context [ClassRealm[plexus.core, parent: null], unnamed module @6b09fb41, Thread[main,5,main], loaded=false]
[Byte Buddy] IGNORE org.apache.maven.eventspy.EventSpy$Context [ClassRealm[plexus.core, parent: null], unnamed module @6b09fb41, Thread[main,5,main], loaded=false]
[Byte Buddy] COMPLETE org.apache.maven.eventspy.EventSpy$Context [ClassRealm[plexus.core, parent: null], unnamed module @6b09fb41, Thread[main,5,main], loaded=false]
[Byte Buddy] DISCOVERY org.apache.maven.cli.CliRequest [ClassRealm[plexus.core, parent: null], unnamed module @6b09fb41, Thread[main,5,main], loaded=false]
[Byte Buddy] IGNORE org.apache.maven.cli.CliRequest [ClassRealm[plexus.core, parent: null], unnamed module @6b09fb41, Thread[main,5,main], loaded=false]
[Byte Buddy] COMPLETE org.apache.maven.cli.CliRequest [ClassRealm[plexus.core, parent: null], unnamed module @6b09fb41, Thread[main,5,main], loaded=false]
[Byte Buddy] DISCOVERY java.util.regex.Pattern$Dollar [null, module java.base, Thread[main,5,main], loaded=false]
[Byte Buddy] IGNORE java.util.regex.Pattern$Dollar [null, module java.base, Thread[main,5,main], loaded=false]
[Byte Buddy] COMPLETE java.util.regex.Pattern$Dollar [null, module java.base, Thread[main,5,main], loaded=false]
[Byte Buddy] DISCOVERY org.apache.maven.shared.utils.logging.MessageUtils [ClassRealm[plexus.core, parent: null], unnamed module @6b09fb41, Thread[main,5,main], loaded=false]
